Source     RACODE         MJDate    J2000RA    J2000Dec    ObsFreq  Pol      FLUX    FLUXERR
1101+384   RK18SG    58249.95647  166.11379    38.20883    1.66800  LCP      0.56       0.03
1101+384   RK18SG    58249.95647  166.11379    38.20883    1.66800  RCP      0.77       0.03
0536+145   RE03JH    56301.05346   84.92652    14.56266    1.66800  LCP      0.28       0.01
0536+145   RE03JH    56301.05346   84.92652    14.56266    1.66800  RCP      0.32       0.01
0827+243   RK08GN    56980.33057  127.71704    24.18328    1.66800  LCP      0.73       0.03
0827+243   RK08GN    56980.33057  127.71704    24.18328    1.66800  RCP      0.75       0.06
1044+719   RK16FQ    57730.17484  162.11508    71.72665    1.66800  LCP      1.09       0.01
1044+719   RK16FQ    57730.17484  162.11508    71.72665    1.66800  RCP      1.27       0.02
0235+164   RK16JM    57777.90973   39.66221    16.61646    1.66800  LCP      1.57       0.02
0235+164   RK16JM    57777.90973   39.66221    16.61646    1.66800  RCP      1.69       0.03
0119+115   RK08IV    56997.98937   20.42333    11.83067    1.66800  LCP      2.12       0.01
0119+115   RK08IV    56997.98937   20.42333    11.83067    1.66800  RCP      2.63       0.01
1800+440   RK08WZ    57146.61585  270.38463    44.07275    1.66800  LCP      0.72       0.01
1800+440   RK08WZ    57146.61585  270.38463    44.07275    1.66800  RCP      0.81       0.01
0955+476   RK01KF    56623.41383  149.58196    47.41884    1.66800  LCP      0.63       0.02
0955+476   RK01KF    56623.41383  149.58196    47.41884    1.66800  RCP      0.72       0.01
1642+690   RK18MO    58161.95421  250.53270    68.94438    1.66800  LCP      1.73       0.02
1642+690   RK18MO    58161.95421  250.53270    68.94438    1.66800  RCP      1.99       0.01
1357+769   RK18LT    58151.95207  209.48071    76.72251    1.66800  LCP      0.11       0.02
1357+769   RK18LT    58151.95207  209.48071    76.72251    1.66800  RCP      0.13       0.02
2209+236   RG28AM    58090.92521  333.02488    23.92793    1.66800  LCP      0.51       0.47
2209+236   RG28AM    58090.92521  333.02488    23.92793    1.66800  RCP      0.59       0.46
2200+420   RK16FV    57731.82617  330.68038    42.27777    1.66800  LCP      1.82       0.03
2200+420   RK16FV    57731.82617  330.68038    42.27777    1.66800  RCP      1.80       0.03
0422+004   RK01CW    56559.20705   66.19518     0.60176    1.66800  LCP      0.43       0.01
0422+004   RK01CW    56559.20705   66.19518     0.60176    1.66800  RCP      0.49       0.01
0736+017   RK23AP    58431.34080  114.82512     1.61795    1.66800  LCP      0.74       0.04
0736+017   RK23AP    58431.34080  114.82512     1.61795    1.66800  RCP      0.88       0.02
0529+483   RK18AZ    58016.74623   83.31612    48.38134    1.66800  LCP      0.73       0.01
0529+483   RK18AZ    58016.74623   83.31612    48.38134    1.66800  RCP      0.82       0.01
0754+100   RK01IV    56608.33038  119.27768     9.94301    1.66800  LCP      0.74       0.02
0754+100   RK01IV    56608.33038  119.27768     9.94301    1.66800  RCP      0.84       0.02
0119+115   RK01PM    56661.86038   20.42331    11.83067    1.66800  LCP      2.40       0.01
0119+115   RK01PM    56661.86038   20.42331    11.83067    1.66800  RCP      2.78       0.01
2251+158   RE03AU    56112.29096  343.49061    16.14821    1.66000  LCP     10.20       0.04
2251+158   RE03AU    56112.29096  343.49061    16.14821    1.66000  RCP     13.13       0.03
0420+022   RK12BQ    57270.37668   65.71754     2.32415    1.66800  LCP      1.04       0.01
0420+022   RK12BQ    57270.37668   65.71754     2.32415    1.66800  RCP      1.20       0.02
1642+690   RE03QA    56381.59460  250.53270    68.94438    1.66800  LCP      1.94       0.43
1642+690   RE03QA    56381.59460  250.53270    68.94438    1.66800  RCP      1.98       0.21
1150+497   RK08PL    57059.44885  178.35196    49.51912    1.66800  LCP      1.53       0.01
1150+497   RK08PL    57059.44885  178.35196    49.51912    1.66800  RCP      1.82       0.01
1928+738   RK01JF    56611.45012  291.95206    73.96710    1.66800  LCP      2.74       0.02
1928+738   RK01JF    56611.45012  291.95206    73.96710    1.66800  RCP      3.08       0.03
1253-055   RK01TD    56696.20355  194.04653    -5.78931    1.66800  LCP      9.21       0.03
1253-055   RK01TD    56696.20355  194.04653    -5.78931    1.66800  RCP     11.62       0.05
0529+483   RK16MV    57819.16381   83.31612    48.38134    1.66800  LCP      0.61       0.02
0529+483   RK16MV    57819.16381   83.31612    48.38134    1.66800  RCP      0.70       0.04
1940+6041  RE03BD    56129.86279  295.10404    60.69294    1.66000  LCP      3.73       0.01
1940+6041  RE03BD    56129.86279  295.10404    60.69294    1.66000  RCP      4.41       0.01
1226+023   RK16LZ    57807.49170  187.27792     2.05239    1.66800  LCP     42.25       0.14
1226+023   RK16LZ    57807.49170  187.27792     2.05239    1.66800  RCP     46.08       0.38
0048-097   RK01GM    56586.07188   12.67215    -9.48478    1.66800  LCP      0.61       0.00
0048-097   RK01GM    56586.07188   12.67215    -9.48478    1.66800  RCP      0.69       0.00
0836+710   RE03PQ    56378.31861  130.35152    70.89505    1.66800  LCP      2.33       0.06
0836+710   RE03PQ    56378.31861  130.35152    70.89505    1.66800  RCP      3.07       0.06
0657+172   RG28BI    58201.92928  105.00638    17.15603    1.66800  LCP      0.88       0.03
